"x","predicted","std.error","conf.low","conf.high","group"
0.8,0.108786298591386,0.0642920969931643,-0.0177809154245882,0.23535351260736,"2"
0.8,-0.0112752143082191,0.0733907963605504,-0.155754381487292,0.133203952870854,"3.75"
0.8,-0.165640016607711,0.112033921578457,-0.386193117107405,0.0549130838919828,"6"
0.85,0.111162032950965,0.0461542766823366,0.0203014375153106,0.20202262838662,"2"
0.85,0.0242091069580017,0.0524488650733836,-0.0790431906197813,0.127461404535785,"3.75"
0.85,-0.087587512175809,0.0800092051748263,-0.245095863407328,0.0699208390557101,"6"
0.9,0.113537767310545,0.0306764985966182,0.0531471571932281,0.173928377427862,"2"
0.9,0.0596934282242221,0.034239318641566,-0.00771104873239316,0.127097905180837,"3.75"
0.9,-0.00953500774390736,0.0512124243723379,-0.110353213696961,0.0912831982091468,"6"
0.95,0.115913501670124,0.0237900118960517,0.069079821203763,0.162747182136485,"2"
0.95,0.0951777494904422,0.0255059105129405,0.0449661031833252,0.145389395797559,"3.75"
0.95,0.0685174966879942,0.0348614124269649,-0.000111651432838256,0.137146644808827,"6"
1,0.118289236029704,0.0317012390241716,0.0558812933463215,0.180697178713087,"2"
1,0.130662070756663,0.0344317446210924,0.0628787786536774,0.19844536285965,"3.75"
1,0.146570001119897,0.0466828652895158,0.0546688114199366,0.238471190819857,"6"
