"x","predicted","std.error","conf.low","conf.high","group"
0.8,0.0344790309549168,0.0666719511239105,-0.0967732302313958,0.165731292141229,"0.77"
0.8,0.108556918108389,0.064279574996255,-0.0179856447554706,0.235099480972249,"1.24"
0.8,0.184210930520446,0.0743411743194822,0.0378608228035812,0.330561038237311,"1.72"
0.85,0.0750948631827278,0.0478482069174623,-0.0191004505250667,0.169290176890522,"0.77"
0.85,0.111050696535499,0.0461452080743586,0.0202079538142595,0.201893439256738,"1.24"
0.85,0.14777154761918,0.0534003865437708,0.0426460583550831,0.252897036883277,"1.72"
0.9,0.115710695410539,0.0318308051019679,0.05304768533529,0.178373705485788,"0.77"
0.9,0.113544474962609,0.0306709823023214,0.0531647243759883,0.173924225549229,"1.24"
0.9,0.111332164717913,0.0352244605835556,0.0419883098775565,0.18067601955827,"1.72"
0.95,0.15632652763835,0.0248273399972407,0.107450734160775,0.205202321115925,"0.77"
0.95,0.116038253389718,0.0237876132301974,0.0692092950038105,0.162867211775625,"1.24"
0.95,0.074892781816647,0.0263456679614438,0.0230279655916548,0.126757598041639,"1.72"
1,0.196942359866161,0.033151785455895,0.13167883104933,0.262205888682993,"0.77"
1,0.118532031816828,0.0316986496814349,0.0561291865857236,0.180934877047932,"1.24"
1,0.0384533989153809,0.0348079886494564,-0.0300705776680825,0.106977375498844,"1.72"
